연도,월,일,시간,지역,태양광발전량(MWh)
2022,12,1,24,광주시,0.01
2022,12,1,1,대구시,0
2022,12,1,2,대구시,0
2022,12,1,3,대구시,0
2022,12,1,4,대구시,0
2022,12,1,5,대구시,0
2022,12,1,6,대구시,0
2022,12,1,7,대구시,0
2022,12,1,8,대구시,0.38
2022,12,1,9,대구시,4.03
2022,12,1,10,대구시,8.17
2022,12,1,11,대구시,17.18
2022,12,1,12,대구시,28.78
2022,12,1,13,대구시,28.68
2022,12,1,14,대구시,28.35
2022,12,1,15,대구시,21.63
2022,12,1,16,대구시,12.02
2022,12,1,17,대구시,3.41
2022,12,1,18,대구시,1.1
2022,12,1,19,대구시,1.28
2022,12,1,20,대구시,3.43
2022,12,1,21,대구시,2.94
2022,12,1,22,대구시,2.52
2022,12,1,23,대구시,0.81
2022,12,1,24,대구시,0.04
2022,12,1,1,세종시,0
2022,12,1,2,세종시,0
2022,12,1,3,세종시,0
2022,12,1,4,세종시,0
2022,12,1,5,세종시,0
2022,12,1,6,세종시,0
2022,12,1,7,세종시,0
2022,12,1,8,세종시,0.1
2022,12,1,9,세종시,1.41
2022,12,1,10,세종시,7.29
2022,12,1,11,세종시,11.53
2022,12,1,12,세종시,14.28
2022,12,1,13,세종시,15.27
2022,12,1,14,세종시,14.53
2022,12,1,15,세종시,10.07
2022,12,1,16,세종시,6.44
2022,12,1,17,세종시,1.39
2022,12,1,18,세종시,1.52
2022,12,1,19,세종시,1.63
2022,12,1,20,세종시,1.63
2022,12,1,21,세종시,1
2022,12,1,22,세종시,0.55
2022,12,1,23,세종시,0
2022,12,1,24,세종시,0
2022,12,1,1,울산시,0
2022,12,1,2,울산시,0
2022,12,1,3,울산시,0
2022,12,1,4,울산시,0
2022,12,1,5,울산시,0
2022,12,1,6,울산시,0
2022,12,1,7,울산시,0
2022,12,1,8,울산시,0.79
2022,12,1,9,울산시,6.4
2022,12,1,10,울산시,11.33
2022,12,1,11,울산시,10.73
2022,12,1,12,울산시,22.02
2022,12,1,13,울산시,22.27
2022,12,1,14,울산시,20.27
2022,12,1,15,울산시,11.31
2022,12,1,16,울산시,5.89
2022,12,1,17,울산시,1.45
2022,12,1,18,울산시,0.24
2022,12,1,19,울산시,0.22
2022,12,1,20,울산시,0.4
2022,12,1,21,울산시,0.22
2022,12,1,22,울산시,0.06
2022,12,1,23,울산시,0.02
2022,12,1,24,울산시,0.01
2022,12,1,1,부산시,0
2022,12,1,2,부산시,0
2022,12,1,3,부산시,0
2022,12,1,4,부산시,0
2022,12,1,5,부산시,0
2022,12,1,6,부산시,0
2022,12,1,7,부산시,0
2022,12,1,8,부산시,1.49
2022,12,1,9,부산시,16.55
2022,12,1,10,부산시,34.06
2022,12,1,11,부산시,27.79
2022,12,1,12,부산시,50.41
2022,12,1,13,부산시,54.57
2022,12,1,14,부산시,43.09
2022,12,1,15,부산시,27.2
2022,12,1,16,부산시,11.16
2022,12,1,17,부산시,3.36
2022,12,1,18,부산시,1.18
2022,12,1,19,부산시,1.58
2022,12,1,20,부산시,2.29
2022,12,1,21,부산시,1.55
2022,12,1,22,부산시,0.91
2022,12,1,23,부산시,0.28
2022,12,1,24,부산시,0
2022,12,2,1,경기도,1.06
2022,12,2,2,경기도,0.13
2022,12,2,3,경기도,0
2022,12,2,4,경기도,0
2022,12,2,5,경기도,0
2022,12,2,6,경기도,0
2022,12,2,7,경기도,0
2022,12,2,8,경기도,0.93
2022,12,2,9,경기도,27.06
2022,12,2,10,경기도,89.71
2022,12,2,11,경기도,129.14
2022,12,2,12,경기도,154
2022,12,2,13,경기도,157.47
2022,12,2,14,경기도,152.78
2022,12,2,15,경기도,126.61
2022,12,2,16,경기도,70.66
2022,12,2,17,경기도,18.12
2022,12,2,18,경기도,5.44
2022,12,2,19,경기도,13.63
2022,12,2,20,경기도,15.94
2022,12,2,21,경기도,18.64
2022,12,2,22,경기도,13.97
2022,12,2,23,경기도,8.41
2022,12,2,24,경기도,3.68
2022,12,2,1,강원도,0.52
2022,12,2,2,강원도,0.03
2022,12,2,3,강원도,0
2022,12,2,4,강원도,0
2022,12,2,5,강원도,0
2022,12,2,6,강원도,0
2022,12,2,7,강원도,0
2022,12,2,8,강원도,3.36
2022,12,2,9,강원도,61.85
2022,12,2,10,강원도,183.69
2022,12,2,11,강원도,228.3
2022,12,2,12,강원도,267.43
2022,12,2,13,강원도,278.54
2022,12,2,14,강원도,265.84
2022,12,2,15,강원도,220.82
2022,12,2,16,강원도,125.06
2022,12,2,17,강원도,30.95
2022,12,2,18,강원도,16.72
2022,12,2,19,강원도,54.05
2022,12,2,20,강원도,75.27
2022,12,2,21,강원도,69.2
2022,12,2,22,강원도,44.87
2022,12,2,23,강원도,17.13
2022,12,2,24,강원도,5.12
2022,12,2,1,경상남도,1.14
2022,12,2,2,경상남도,0.6
2022,12,2,3,경상남도,0.58
2022,12,2,4,경상남도,0.59
2022,12,2,5,경상남도,0.59
2022,12,2,6,경상남도,0.57
2022,12,2,7,경상남도,0.07
2022,12,2,8,경상남도,2.92
2022,12,2,9,경상남도,59.67
2022,12,2,10,경상남도,163.99
2022,12,2,11,경상남도,208.67
2022,12,2,12,경상남도,241.05
2022,12,2,13,경상남도,252.55
2022,12,2,14,경상남도,243.31
2022,12,2,15,경상남도,204.09
2022,12,2,16,경상남도,125.61
2022,12,2,17,경상남도,32.38
2022,12,2,18,경상남도,10.67
2022,12,2,19,경상남도,23.78
2022,12,2,20,경상남도,32.95
2022,12,2,21,경상남도,27.53
2022,12,2,22,경상남도,19.19
2022,12,2,23,경상남도,10.86
2022,12,2,24,경상남도,3.61
2022,12,2,1,경상북도,1.73
2022,12,2,2,경상북도,0.3
2022,12,2,3,경상북도,0
2022,12,2,4,경상북도,0
2022,12,2,5,경상북도,0
2022,12,2,6,경상북도,0
2022,12,2,7,경상북도,0
2022,12,2,8,경상북도,5.93
2022,12,2,9,경상북도,90.89
2022,12,2,10,경상북도,246.5
2022,12,2,11,경상북도,298.89
2022,12,2,12,경상북도,346.54
2022,12,2,13,경상북도,357.68
2022,12,2,14,경상북도,340.34
2022,12,2,15,경상북도,299.15
2022,12,2,16,경상북도,187.16
2022,12,2,17,경상북도,48.63
2022,12,2,18,경상북도,12.91
2022,12,2,19,경상북도,36.26
2022,12,2,20,경상북도,66.35
2022,12,2,21,경상북도,72.41
2022,12,2,22,경상북도,61.79
2022,12,2,23,경상북도,37.62
2022,12,2,24,경상북도,11.57
2022,12,2,1,전라남도,2.08
2022,12,2,2,전라남도,0.15
2022,12,2,3,전라남도,0
2022,12,2,4,전라남도,0.01
2022,12,2,5,전라남도,0
2022,12,2,6,전라남도,0
2022,12,2,7,전라남도,0
2022,12,2,8,전라남도,13.21
2022,12,2,9,전라남도,278.15
2022,12,2,10,전라남도,720.5
2022,12,2,11,전라남도,730.03
2022,12,2,12,전라남도,845.78
2022,12,2,13,전라남도,892.52
2022,12,2,14,전라남도,881.1
2022,12,2,15,전라남도,915.22
2022,12,2,16,전라남도,640.12
2022,12,2,17,전라남도,203.64
2022,12,2,18,전라남도,394.53
2022,12,2,19,전라남도,482.05
2022,12,2,20,전라남도,510.53
2022,12,2,21,전라남도,482.79
2022,12,2,22,전라남도,272.66
2022,12,2,23,전라남도,74.83
2022,12,2,24,전라남도,29.67
2022,12,2,1,전라북도,1.05
2022,12,2,2,전라북도,0.54
2022,12,2,3,전라북도,0.49
2022,12,2,4,전라북도,0.18
2022,12,2,5,전라북도,0.16
2022,12,2,6,전라북도,0.02
2022,12,2,7,전라북도,0
2022,12,2,8,전라북도,5.19
2022,12,2,9,전라북도,93.34
2022,12,2,10,전라북도,289
2022,12,2,11,전라북도,390.92
2022,12,2,12,전라북도,455.57
2022,12,2,13,전라북도,476.55
2022,12,2,14,전라북도,455.31
2022,12,2,15,전라북도,393.09
2022,12,2,16,전라북도,244.86
2022,12,2,17,전라북도,72.07
2022,12,2,18,전라북도,32.18
2022,12,2,19,전라북도,48.1
2022,12,2,20,전라북도,62.7
2022,12,2,21,전라북도,53.18
2022,12,2,22,전라북도,39.79
2022,12,2,23,전라북도,22.19
2022,12,2,24,전라북도,6.11
2022,12,2,1,충청남도,4.11
2022,12,2,2,충청남도,0.91
2022,12,2,3,충청남도,0.07
2022,12,2,4,충청남도,0
2022,12,2,5,충청남도,0
2022,12,2,6,충청남도,0
2022,12,2,7,충청남도,0
2022,12,2,8,충청남도,3.04
2022,12,2,9,충청남도,71.87
2022,12,2,10,충청남도,223.09
2022,12,2,11,충청남도,270.6
2022,12,2,12,충청남도,339.59
2022,12,2,13,충청남도,324.42
2022,12,2,14,충청남도,307.61
2022,12,2,15,충청남도,323.89
2022,12,2,16,충청남도,212.21
2022,12,2,17,충청남도,87.63
2022,12,2,18,충청남도,69.48
2022,12,2,19,충청남도,97.42
2022,12,2,20,충청남도,106.74
2022,12,2,21,충청남도,77.38
2022,12,2,22,충청남도,62.15
2022,12,2,23,충청남도,29.17
2022,12,2,24,충청남도,12.56
2022,12,2,1,충청북도,0.87
2022,12,2,2,충청북도,0.11
2022,12,2,3,충청북도,0.05
2022,12,2,4,충청북도,0.26
2022,12,2,5,충청북도,0.26
2022,12,2,6,충청북도,0.27
2022,12,2,7,충청북도,0.11
2022,12,2,8,충청북도,1.82
2022,12,2,9,충청북도,29.34
2022,12,2,10,충청북도,90.08
2022,12,2,11,충청북도,120.7
2022,12,2,12,충청북도,145.35
2022,12,2,13,충청북도,152.01
2022,12,2,14,충청북도,142.81
2022,12,2,15,충청북도,118.25
2022,12,2,16,충청북도,74.08
2022,12,2,17,충청북도,20.74
2022,12,2,18,충청북도,16.16
2022,12,2,19,충청북도,26.15
2022,12,2,20,충청북도,38.73
2022,12,2,21,충청북도,38.66
2022,12,2,22,충청북도,26.73
2022,12,2,23,충청북도,9.45
2022,12,2,24,충청북도,2.96
2022,12,2,1,제주도,0
2022,12,2,2,제주도,0.19
2022,12,2,3,제주도,0.19
2022,12,2,4,제주도,0.13
2022,12,2,5,제주도,0
2022,12,2,6,제주도,0
2022,12,2,7,제주도,0
2022,12,2,8,제주도,2.15
2022,12,2,9,제주도,34.93
2022,12,2,10,제주도,122.99
2022,12,2,11,제주도,201.97
2022,12,2,12,제주도,211.23
2022,12,2,13,제주도,220.87
2022,12,2,14,제주도,217.1
2022,12,2,15,제주도,162.13
2022,12,2,16,제주도,92.64
2022,12,2,17,제주도,25.76
2022,12,2,18,제주도,5.36
2022,12,2,19,제주도,4.92
2022,12,2,20,제주도,6.12
2022,12,2,21,제주도,4.15
2022,12,2,22,제주도,2.67
2022,12,2,23,제주도,0.31
2022,12,2,24,제주도,0
2022,12,2,1,서울시,0
2022,12,2,2,서울시,0
2022,12,2,3,서울시,0
2022,12,2,4,서울시,0
2022,12,2,5,서울시,0
2022,12,2,6,서울시,0
2022,12,2,7,서울시,0
2022,12,2,8,서울시,0.05
2022,12,2,9,서울시,1.83
2022,12,2,10,서울시,5.53
2022,12,2,11,서울시,8.75
2022,12,2,12,서울시,10.49
2022,12,2,13,서울시,10.95
2022,12,2,14,서울시,10.27
2022,12,2,15,서울시,8.41
2022,12,2,16,서울시,4.91
2022,12,2,17,서울시,0.96
2022,12,2,18,서울시,0
2022,12,2,19,서울시,0.05
2022,12,2,20,서울시,0.05
2022,12,2,21,서울시,0.05
2022,12,2,22,서울시,0.05
2022,12,2,23,서울시,0.02
2022,12,2,24,서울시,0
2022,12,2,1,인천시,0.18
2022,12,2,2,인천시,0
2022,12,2,3,인천시,0
2022,12,2,4,인천시,0
2022,12,2,5,인천시,0
2022,12,2,6,인천시,0
2022,12,2,7,인천시,0
2022,12,2,8,인천시,0.11
2022,12,2,9,인천시,4.58
2022,12,2,10,인천시,13.05
2022,12,2,11,인천시,17.79
2022,12,2,12,인천시,22.06
2022,12,2,13,인천시,26.48
2022,12,2,14,인천시,25.89
2022,12,2,15,인천시,20.58
2022,12,2,16,인천시,12.02
2022,12,2,17,인천시,2.54
2022,12,2,18,인천시,1.71
2022,12,2,19,인천시,1.91
2022,12,2,20,인천시,3.16
2022,12,2,21,인천시,2.2
2022,12,2,22,인천시,0.61
2022,12,2,23,인천시,4.55
2022,12,2,24,인천시,4.13
2022,12,2,1,대전시,0
2022,12,2,2,대전시,0
2022,12,2,3,대전시,0
2022,12,2,4,대전시,0
2022,12,2,5,대전시,0
2022,12,2,6,대전시,0
2022,12,2,7,대전시,0
2022,12,2,8,대전시,0.04
2022,12,2,9,대전시,1.43
2022,12,2,10,대전시,4.16
2022,12,2,11,대전시,6.14
2022,12,2,12,대전시,7.37
2022,12,2,13,대전시,7.79
2022,12,2,14,대전시,7.17
2022,12,2,15,대전시,5.89
2022,12,2,16,대전시,3.59
2022,12,2,17,대전시,0.9
2022,12,2,18,대전시,0.01
2022,12,2,19,대전시,0
2022,12,2,20,대전시,0
2022,12,2,21,대전시,0
2022,12,2,22,대전시,0
2022,12,2,23,대전시,0
2022,12,2,24,대전시,0
2022,12,2,1,광주시,0
2022,12,2,2,광주시,0
2022,12,2,3,광주시,0
2022,12,2,4,광주시,0
2022,12,2,5,광주시,0
2022,12,2,6,광주시,0
2022,12,2,7,광주시,0
2022,12,2,8,광주시,0.29
2022,12,2,9,광주시,6.91
